,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
15,3655-SNQYZ,0,0,1,1,0.9583333333333333,1,2,1,2,2,2,2,2,2,2,0,1,0.945273631840796,0.9088795291945534,0
16,8191-XWSZG,0,0,0,0,0.7222222222222222,1,0,2,1,1,1,1,1,1,1,0,3,0.023880597014925342,0.11587237479806141,0
17,9959-WOFKT,1,0,0,1,0.986111111111111,1,2,1,2,0,2,0,2,2,2,0,0,0.8800995024875623,0.8496942072467113,0
18,4190-MFLUW,0,0,1,1,0.1388888888888889,1,0,0,0,0,2,2,0,0,0,0,1,0.36766169154228856,0.05879875375028849,1
19,4183-MYFRB,0,0,0,0,0.29166666666666663,1,0,1,0,2,2,0,0,2,0,1,2,0.7144278606965173,0.2127971382414032,0
20,8779-QRDMV,1,1,0,0,0.013888888888888888,0,1,0,0,0,2,0,0,2,0,1,2,0.21293532338308457,0.0024059543041772442,1
21,1680-VDCWW,1,0,1,0,0.16666666666666666,1,0,2,1,1,1,1,1,1,1,0,0,0.015422885572139305,0.02116893607200554,0
22,1066-JKSGK,1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.018905472636815884,0.00015578121393953342,1
23,3638-WEABW,0,0,1,0,0.8055555555555555,1,2,0,0,2,0,2,0,0,2,1,1,0.4144278606965174,0.4022963304869605,0
24,6322-HRPFA,1,0,1,1,0.6805555555555555,1,0,0,2,2,0,2,0,0,0,0,1,0.4114427860696518,0.34058389106854375,0
25,6865-JZNKO,0,0,0,0,0.41666666666666663,1,0,0,2,2,0,0,0,0,0,1,0,0.3686567164179104,0.17445188091391645,0
26,6467-CHFZW,1,0,1,1,0.6527777777777778,1,2,1,0,2,0,0,2,2,0,1,2,0.8069651741293532,0.545851603969536,1
27,8665-UTDHZ,1,0,1,1,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,0,2,0.11890547263681589,0.0013154858066005077,1
28,5248-YGIJN,1,0,1,0,1.0,1,2,0,2,2,2,2,2,2,2,1,1,0.7164179104477612,0.7328236787445188,0
29,8773-HHUOZ,0,0,0,1,0.2361111111111111,1,0,0,0,0,0,0,2,2,0,1,3,0.4621890547263682,0.12396722824832679,1
30,3841-NFECX,0,1,1,0,0.986111111111111,1,2,1,2,2,2,2,0,0,2,1,1,0.7771144278606964,0.778692591737826,0
31,4929-XIHVW,1,1,1,0,0.027777777777777776,1,0,1,0,0,2,0,2,2,0,1,1,0.7686567164179104,0.01879183014078006,0
32,6827-IEAUQ,0,0,1,1,0.375,1,0,0,2,2,2,2,0,0,1,0,3,0.47661691542288565,0.21412993307177478,0
33,7310-EGVHZ,1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,0,0.019402985074626844,0.0001615508885298867,0
34,3413-BMNZE,1,1,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0.26865671641791045,0.003052157858296792,0
35,6234-RAAPL,0,0,1,1,1.0,1,2,1,2,2,0,2,2,0,2,0,0,0.8124378109452737,0.8346295868912993,0
36,6047-YHPVI,1,0,0,0,0.06944444444444445,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.034398799907685206,1
37,6572-ADKRS,0,0,0,0,0.6388888888888888,1,0,1,0,0,2,0,0,0,0,1,1,0.5626865671641791,0.40728132933302563,0
38,5380-WJKOV,1,0,0,0,0.4722222222222222,1,2,1,0,2,2,0,2,2,0,1,2,0.8766169154228854,0.4073909531502423,1
39,8168-UQWWF,0,0,0,0,0.15277777777777776,1,2,1,0,0,2,0,2,2,0,1,0,0.7920398009950248,0.12538656819755367,1
40,8865-TNMNX,1,0,1,1,0.1388888888888889,1,0,0,0,2,0,0,0,0,1,0,3,0.3114427860696517,0.05272328640664667,0
41,9489-DEDVP,0,0,1,1,0.9722222222222222,1,2,0,2,2,0,0,2,0,2,1,1,0.5069651741293533,0.5600680821601662,0
42,9867-JCZSP,0,0,1,1,0.2361111111111111,1,0,2,1,1,1,1,1,1,1,0,3,0.02487562189054726,0.04609393030233095,0
43,4671-VJLCL,0,0,0,0,0.875,1,2,0,2,2,2,2,2,0,2,1,1,0.6129353233830845,0.5588102930994692,0
44,4080-IIARD,0,0,1,0,0.18055555555555555,1,2,0,2,2,0,2,2,0,0,1,2,0.5766169154228856,0.11108354488806832,0
45,3714-NTNFO,0,0,0,0,0.6805555555555555,1,2,1,0,0,0,0,0,2,0,1,2,0.6592039800995024,0.44863835679667663,0
46,5948-UJZLF,1,0,0,0,0.027777777777777776,1,0,0,0,2,0,0,0,0,0,0,3,0.30845771144278605,0.009023771059312256,0
47,7760-OYPDY,0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,2,0,0,1,2,0.6208955223880598,0.014464574198015234,1
48,7639-LIAYI,1,0,0,0,0.7222222222222222,1,2,0,2,0,0,2,2,2,2,1,1,0.6119402985074627,0.4845372720978537,0
49,2954-PIBKO,0,0,1,1,0.9583333333333333,1,2,0,2,0,2,2,0,0,2,1,1,0.4567164179104478,0.4887260558504501,0
50,8012-SOUDQ,0,1,0,0,0.5972222222222222,1,2,1,0,2,0,0,2,0,0,1,2,0.7164179104477612,0.4407973690283868,0
51,9420-LOJKX,0,0,0,0,0.20833333333333331,1,0,1,2,2,0,0,2,2,0,1,1,0.8044776119402984,0.1624278790676206,1
52,6575-SUVOI,0,1,1,0,0.3472222222222222,1,2,0,2,0,0,2,2,0,0,1,1,0.5099502487562189,0.2000750057696746,0
53,7495-OOKFY,0,1,1,0,0.1111111111111111,1,2,1,0,2,0,0,0,0,0,1,1,0.6208955223880598,0.07090930071543965,1
54,4667-QONEA,0,1,1,1,0.8333333333333333,1,0,0,2,2,2,2,0,2,1,1,1,0.56318407960199,0.5120643895684284,0
55,1658-BYGOY,1,1,0,0,0.25,1,2,1,0,0,0,0,2,2,0,1,2,0.7681592039800995,0.20006346642049389,1
56,8769-KKTPH,0,0,1,1,0.875,1,2,1,2,0,0,0,2,2,1,1,1,0.8099502487562189,0.7261020078467574,0
57,5067-XJQFU,1,1,1,1,0.9166666666666666,1,2,1,0,2,2,2,2,2,1,1,2,0.8975124378109453,0.8143953381029311,0
58,3957-SQXML,0,0,1,1,0.4722222222222222,1,2,2,1,1,1,1,1,1,2,0,1,0.06666666666666665,0.10102700207708286,0
59,5954-BDFSG,0,0,0,0,1.0,1,2,1,0,0,2,2,2,2,2,1,1,0.8880597014925372,0.9040964689591507,0
60,0434-CSFON,0,0,1,0,0.6527777777777778,1,2,1,0,0,2,0,2,2,0,1,2,0.818407960199005,0.5409993076390492,0
61,1215-FIGMP,1,0,0,0,0.8333333333333333,1,2,1,0,2,0,0,2,0,0,1,0,0.7129353233830846,0.6268059081467805,0
62,0526-SXDJP,1,0,1,0,1.0,0,1,0,2,2,2,0,0,0,2,0,0,0.2373134328358209,0.3396261250865451,0
63,0557-ASKVU,0,0,1,1,0.25,1,0,0,0,0,2,2,0,0,1,1,1,0.3597014925373134,0.10827371336256636,0
64,5698-BQJOH,0,0,0,0,0.125,1,2,1,0,0,0,0,2,2,0,0,2,0.7577114427860697,0.0967516732056312,1
65,5122-CYFXA,0,0,0,0,0.041666666666666664,1,0,0,0,2,0,2,2,2,0,1,2,0.5676616915422885,0.025998153704131086,0
66,8627-ZYGSZ,1,0,1,0,0.6527777777777778,1,2,1,0,2,0,0,0,0,1,1,2,0.6034825870646766,0.41905723517193627,0
67,3410-YOQBQ,0,0,0,0,0.4305555555555555,1,0,0,0,2,2,2,2,2,2,0,3,0.6064676616915423,0.28599123009462263,0
68,3170-NMYVV,0,0,1,1,0.6944444444444444,1,0,2,1,1,1,1,1,1,2,0,0,0.018905472636815884,0.10525040387722133,0
69,7410-OIEDU,1,0,0,0,0.1388888888888889,1,0,1,2,0,2,0,0,0,0,1,3,0.6129353233830845,0.10022501730902378,0
70,2273-QCKXA,1,0,0,0,0.013888888888888888,1,0,0,0,0,0,2,0,0,0,0,3,0.30646766169154227,0.0034906531271636275,0
71,0731-EBJQB,0,0,1,1,0.7222222222222222,1,0,2,1,1,1,1,1,1,1,1,2,0.021393034825870627,0.12368451419339951,0
72,1891-QRQSA,1,1,1,1,0.8888888888888888,1,2,1,2,0,2,2,2,2,2,1,0,0.9288557213930347,0.8170090006923609,0
73,8028-PNXHQ,1,0,1,1,0.861111111111111,1,2,2,1,1,1,1,1,1,2,1,0,0.05970149253731341,0.16222017078236786,0
74,5630-AHZIL,0,0,0,1,0.041666666666666664,1,0,0,2,0,0,2,0,2,0,1,0,0.46019900497512434,0.018301407800600047,0
75,2673-CXQEU,0,1,0,0,0.7777777777777777,1,2,1,2,2,2,0,2,2,1,0,2,0.917910447761194,0.7062889453034848,0
76,6416-JNVRK,0,0,0,0,0.6388888888888888,1,0,0,0,0,0,0,0,2,1,0,1,0.37213930348258706,0.30810639279944607,0
77,5590-ZSKRV,0,0,1,1,0.1111111111111111,1,0,0,2,2,0,0,0,0,0,0,3,0.3621890547263681,0.05347911377798293,0
78,0191-ZHSKZ,1,1,0,0,0.41666666666666663,1,0,0,2,2,0,0,2,2,0,1,2,0.5621890547263682,0.24146088160627743,0
79,3887-PBQAO,0,0,1,1,0.625,1,2,2,1,1,1,1,1,1,1,1,1,0.07611940298507458,0.13821832448649896,0
80,5919-TMRGD,0,0,0,1,0.013888888888888888,1,0,1,0,0,0,0,2,0,0,1,2,0.607960199004975,0.006987075928917609,1
81,8108-UXRQN,0,0,1,1,0.15277777777777776,0,1,0,2,0,0,0,2,2,0,0,2,0.32139303482587056,0.06306831294714979,0
82,9191-MYQKX,0,0,1,0,0.09722222222222221,1,0,1,0,0,2,0,0,0,0,1,0,0.5661691542288557,0.055169628432956384,1
83,9919-YLNNG,0,0,0,0,0.5833333333333333,1,0,1,0,2,2,2,2,2,0,1,0,0.8512437810945274,0.4971959381490884,0
84,0318-ZOPWS,0,0,1,0,0.6805555555555555,1,0,2,1,1,1,1,1,1,2,1,0,0.018905472636815884,0.11014885760443112,0
85,4445-ZJNMU,1,0,0,0,0.125,1,2,1,0,2,0,0,2,2,0,1,1,0.8064676616915423,0.10384837295176552,0
86,4808-YNLEU,0,0,1,0,0.4861111111111111,1,0,0,2,0,0,0,2,0,1,1,0,0.43681592039800987,0.2534791137779829,0
87,1862-QRWPE,0,0,1,1,0.6666666666666666,1,0,2,1,1,1,1,1,1,2,0,0,0.023880597014925342,0.11980152319409186,0
88,2796-NNUFI,0,0,1,1,0.6388888888888888,1,0,2,1,1,1,1,1,1,2,1,3,0.01691542288557213,0.1048119086083545,0
89,3016-KSVCP,1,0,1,0,0.40277777777777773,0,1,0,0,0,0,0,2,0,0,0,3,0.154228855721393,0.11429148396030464,0
90,4767-HZZHQ,1,0,1,1,0.41666666666666663,1,0,1,0,2,2,0,0,0,0,0,0,0.6348258706467661,0.29441495499653814,0
91,2424-WVHPL,1,1,0,0,0.013888888888888888,1,0,1,0,0,0,2,0,0,0,0,2,0.5616915422885572,0.006450496192014771,0
92,7233-PAHHL,1,0,1,1,0.9166666666666666,1,2,0,2,0,2,2,2,2,2,1,3,0.654228855721393,0.6572178629125317,0
93,6067-NGCEU,0,0,0,0,0.9027777777777777,1,2,1,2,2,2,0,2,2,0,1,1,0.9233830845771144,0.8179321486268175,0
94,9848-JQJTX,1,0,0,0,1.0,1,2,1,0,2,2,0,2,2,2,1,0,0.8223880597014926,0.8585564274174937,0
95,8637-XJIVR,0,0,0,0,0.16666666666666666,1,2,1,2,0,0,0,0,0,0,1,2,0.6039800995024875,0.10484075698130627,1
96,9803-FTJCG,1,0,1,1,0.986111111111111,1,2,0,2,2,0,2,0,0,1,1,1,0.4835820895522387,0.545799676898223,0
97,0278-YXOOG,1,0,0,0,0.06944444444444445,1,0,2,1,1,1,1,1,1,0,0,3,0.027860696517412936,0.010968151396261252,1
98,3212-KXOCR,1,0,0,0,0.7222222222222222,1,0,2,1,1,1,1,1,1,2,0,0,0.027363184079601977,0.12559427648280638,0
99,4598-XLKNJ,0,1,1,0,0.3472222222222222,1,0,1,0,2,2,0,2,2,0,1,2,0.7985074626865671,0.2879875375028848,1
100,6380-ARCEH,1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.019402985074626844,0.0001615508885298867,0
101,3679-XASPY,0,0,1,1,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,2,0.011940298507462671,7.500576967459007e-05,0
102,7123-WQUHX,1,0,0,0,0.5277777777777778,1,2,1,0,0,2,2,2,0,1,0,0,0.763681592039801,0.41389337641357027,0
103,5386-THSLQ,0,1,1,0,0.9166666666666666,0,1,0,0,2,2,0,2,0,1,0,0,0.2716417910447761,0.3471555504269559,0
104,3192-NQECA,1,0,1,0,0.9444444444444444,1,2,1,0,2,2,2,2,2,2,1,0,0.9129353233830845,0.8761885529656128,1
105,6180-YBIQI,1,0,0,0,0.06944444444444445,0,1,0,0,0,0,0,0,0,0,0,3,0.06019900497512437,0.009393030233094853,0
106,6728-DKUCO,0,0,1,1,1.0,1,2,1,2,2,0,0,2,2,1,1,2,0.854726368159204,0.840555042695592,0
107,9750-BOOHV,0,0,0,0,0.4444444444444444,0,1,0,2,0,0,0,0,0,1,0,3,0.11840796019900496,0.10487537502884837,0
108,8597-CWYHH,1,0,0,0,0.5972222222222222,1,2,1,0,0,0,0,2,2,1,0,3,0.7572139303482587,0.4503231017770598,0
109,2848-YXSMW,1,0,1,1,1.0,1,0,2,1,1,1,1,1,1,2,0,1,0.011442786069651711,0.15514078006000462,0
110,0486-HECZI,1,0,1,0,0.7638888888888888,1,2,1,2,2,0,0,2,0,0,1,2,0.7810945273631841,0.6023655665820448,1
111,4549-ZDQYY,0,0,0,0,0.7222222222222222,1,0,0,2,0,2,2,0,0,1,0,1,0.3950248756218906,0.34888645280406183,0
112,5712-AHQNN,0,0,0,0,0.5972222222222222,1,0,1,0,2,2,0,2,0,0,1,2,0.7303482587064677,0.45410800830833137,0
113,4846-WHAFZ,0,1,1,0,0.5138888888888888,1,2,1,0,0,0,0,0,0,0,1,2,0.5796019900497512,0.3287964458804523,1
114,5256-SKJGO,0,0,1,1,0.8888888888888888,0,1,0,0,2,0,2,2,2,2,1,2,0.36169154228855727,0.3928802215555043,0
115,3071-VBYPO,1,0,1,1,0.041666666666666664,1,0,1,2,2,0,0,2,0,0,0,2,0.7124378109452736,0.026494345718901455,0
116,9560-BBZXK,0,0,0,0,0.5,0,1,0,2,0,0,0,0,0,2,0,0,0.127363184079602,0.12780406185091162,0
117,5299-RULOA,0,0,1,1,0.1388888888888889,1,2,1,2,0,0,0,2,2,0,1,2,0.8159203980099502,0.12068428340641589,1
118,8402-OOOHJ,0,0,0,0,0.5694444444444444,1,0,2,1,1,1,1,1,1,2,0,3,0.023880597014925342,0.09420147703669514,0
119,9445-ZUEQE,1,0,1,1,0.375,1,2,1,0,2,0,2,0,0,0,1,1,0.6661691542288557,0.24611123932610202,0
120,1091-SOZGA,0,0,1,1,0.7777777777777777,1,2,1,0,0,2,0,2,2,1,1,1,0.8114427860696517,0.6342776367412878,0
121,2928-HLDBA,0,0,0,0,0.08333333333333333,1,0,2,1,1,1,1,1,1,0,0,3,0.024378109452736302,0.010841218555273483,0
122,0404-SWRVG,1,0,0,0,0.041666666666666664,1,2,1,0,0,0,0,0,0,0,1,2,0.5587064676616916,0.024319178398338335,1
123,6497-TILVL,0,0,1,1,0.09722222222222221,1,0,0,2,0,0,0,0,0,0,0,3,0.32288557213930347,0.03825871220863144,0
124,7219-TLZHO,0,0,1,1,0.05555555555555555,1,0,2,1,1,1,1,1,1,0,0,3,0.025870646766169153,0.005088852988691437,0
125,4622-YNKIJ,1,0,0,0,0.4583333333333333,1,0,1,2,0,0,2,2,0,2,1,2,0.7034825870646766,0.34720170782367876,0
126,4412-YLTKF,0,1,0,0,0.375,1,2,1,0,0,2,0,0,0,0,1,2,0.5950248756218905,0.24425340410800833,1
127,6734-PSBAW,1,0,1,0,1.0,1,2,2,1,1,1,1,1,1,2,1,0,0.0527363184079602,0.1967632125548119,0
128,3930-ZGWVE,1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.014925373134328346,0.0001096238172167089,0
129,2639-UGMAZ,1,1,0,0,0.986111111111111,0,1,0,2,2,0,0,2,2,1,1,2,0.3800995024875622,0.4577140549273021,0
130,2876-GZYZC,0,0,0,0,0.18055555555555555,1,2,1,0,0,0,0,0,2,0,1,2,0.6736318407960199,0.13810870066928227,0
131,6207-WIOLX,0,0,1,1,0.3472222222222222,0,1,0,2,2,2,0,2,2,0,1,1,0.4014925373134328,0.1712266328179091,1
132,8587-XYZSF,1,0,0,0,0.9305555555555555,1,0,0,0,0,0,2,0,0,2,0,0,0.32139303482587056,0.3740249249942303,0
133,3091-FYHKI,1,0,0,0,0.013888888888888888,0,1,0,0,0,0,0,0,2,0,1,2,0.17114427860696518,0.0019213016385875841,1
134,2372-HWUHI,1,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0,0,2,0.25970149253731345,0.007206323563351027,1
135,7799-LGRDP,0,0,0,0,0.5972222222222222,1,2,2,1,1,1,1,1,1,2,1,1,0.07412935323383085,0.13494114931917842,0
136,7850-VWJUU,0,0,0,0,0.3194444444444444,1,0,1,2,0,0,0,0,0,0,1,0,0.5646766169154228,0.20305792753288715,0
137,3774-VBNXY,0,0,1,1,0.8888888888888888,1,0,2,1,1,1,1,1,1,2,0,3,0.019402985074626844,0.14527463651050082,0
138,6217-KDYWC,1,0,0,1,0.7916666666666666,1,0,2,1,1,1,1,1,1,2,1,3,0.013432835820895522,0.13290445418878374,0
139,0390-DCFDQ,0,1,1,0,0.013888888888888888,1,0,1,0,0,0,0,0,0,0,1,3,0.5194029850746269,0.005960073851834756,1
140,3146-MSEGF,0,1,1,1,1.0,1,2,0,2,2,2,2,2,2,2,1,1,0.6945273631840796,0.7393087929840757,0
141,4080-OGPJL,0,0,0,0,0.1111111111111111,1,2,0,2,0,0,2,0,2,0,0,2,0.5263681592039802,0.06287214401107778,1
142,1095-WGNGG,0,0,1,0,0.8472222222222222,1,2,1,0,2,0,0,2,2,2,1,0,0.8238805970149253,0.6868739903069467,0
143,2636-SJDOU,1,0,0,0,0.8888888888888888,1,2,1,2,2,0,0,0,0,1,1,1,0.6572139303482587,0.608152550196169,0
144,1131-QQZEB,1,1,1,0,0.986111111111111,1,2,2,1,1,1,1,1,1,2,0,0,0.056716417910447736,0.20048465266558968,0
145,5716-EZXZN,0,0,1,1,0.9027777777777777,1,2,1,2,2,0,2,2,0,2,1,1,0.8039800995024875,0.7382760212324024,0
146,6837-BJYDQ,1,0,0,0,0.041666666666666664,1,0,2,1,1,1,1,1,1,1,0,3,0.013432835820895522,0.004909993076390492,0
147,2135-RXIHG,1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,1,2,0.27263681592039796,0.0030983152550196165,1
148,6440-DKQGE,1,0,0,1,0.41666666666666663,1,0,0,0,2,2,0,2,0,1,0,1,0.46019900497512434,0.22053427186706673,0
149,3466-BYAVD,1,0,1,1,0.20833333333333331,1,0,0,0,2,2,2,0,2,0,1,3,0.5099502487562189,0.12146318947611356,0
150,3780-YVMFA,0,0,1,1,0.1111111111111111,1,0,0,0,0,0,2,2,2,0,1,2,0.5004975124378109,0.06295291945534273,0
151,3874-EQOEP,1,0,0,0,0.09722222222222221,1,2,1,0,0,0,0,2,2,0,0,3,0.763681592039801,0.07347103623355643,1
152,1679-JRFBR,0,0,1,1,0.9722222222222222,1,2,1,2,2,2,0,2,2,1,1,1,0.8945273631840797,0.9129644588045235,0
153,9073-ZZIAY,1,0,1,1,0.861111111111111,1,0,0,2,2,2,2,2,2,2,0,2,0.6751243781094527,0.5996365105008078,0
154,3077-RSNTJ,0,0,1,1,0.08333333333333333,1,0,2,1,1,1,1,1,1,0,0,3,0.014427860696517386,0.01092776367412878,0
155,6551-GNYDG,0,0,1,1,0.19444444444444442,1,0,1,0,0,0,0,0,2,0,1,0,0.6233830845771144,0.1308562197092084,0
156,9167-APMXZ,0,0,0,0,0.3055555555555555,1,2,1,0,0,0,0,2,0,0,1,0,0.6557213930348259,0.208071774751904,0
157,2749-CTKAJ,1,0,1,1,0.3055555555555555,1,0,2,1,1,1,1,1,1,1,0,3,0.018905472636815884,0.0462843295638126,0
158,6371-NZYEG,1,0,1,1,0.2222222222222222,1,0,0,2,0,2,0,2,0,2,0,3,0.4577114427860697,0.11599353796445881,0
159,7554-NEWDD,1,0,0,0,0.1388888888888889,1,2,2,1,1,1,1,1,1,2,0,0,0.07412935323383085,0.02686360489268405,0
160,8992-VONJD,0,0,0,1,0.18055555555555555,1,0,0,2,2,0,0,0,0,0,1,2,0.3756218905472637,0.08605469651511655,0
161,0867-MKZVY,0,0,1,0,0.2777777777777778,1,2,1,2,0,0,0,0,0,0,0,2,0.6383084577114428,0.18157742903300253,1
162,4482-EWFMI,0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.013431802446342025,0
163,4648-YPBTM,1,0,0,0,0.736111111111111,1,2,0,0,2,2,2,0,2,2,1,0,0.5537313432835821,0.4545868912993307,0
164,2907-ILJBN,0,0,1,1,0.15277777777777776,1,0,2,1,1,1,1,1,1,1,0,3,0.023383084577114438,0.024821140087699055,0
165,6345-FZOQH,1,0,1,0,0.9583333333333333,1,0,2,1,1,1,1,1,1,2,0,3,0.01641791044776117,0.15516385875836605,0
166,3376-BMGFE,0,0,0,0,0.05555555555555555,1,0,1,0,0,0,0,0,0,0,1,0,0.5238805970149254,0.029333025617355183,1
167,5997-OPVFA,1,0,1,0,1.0,1,2,0,2,2,2,2,2,2,2,1,0,0.7044776119402985,0.7195534271867067,0
168,3445-HXXGF,1,1,1,0,0.8055555555555555,0,1,0,0,2,2,0,0,2,0,1,2,0.2691542288557213,0.30376182783291017,1
169,1159-WFSGR,0,0,1,1,0.2222222222222222,1,0,2,1,1,1,1,1,1,0,0,2,0.021393034825870627,0.03491807062081699,0
170,7654-YWJUF,1,0,1,0,0.5972222222222222,1,0,1,2,0,2,2,0,0,1,1,0,0.6567164179104478,0.4062370182321717,0
171,1875-QIVME,0,0,1,0,0.027777777777777776,1,2,1,0,0,2,2,2,2,0,1,2,0.8572139303482588,0.025848142164781908,1
172,6727-IOTLZ,1,0,1,0,0.19444444444444442,1,0,0,0,2,2,2,2,2,2,0,3,0.6338308457711442,0.13419686129702285,0
173,0691-JVSYA,0,0,1,0,0.736111111111111,1,0,1,0,0,2,0,2,2,1,1,0,0.7621890547263681,0.574821140087699,1
174,5918-VUKWP,0,0,0,0,0.4444444444444444,1,0,2,1,1,1,1,1,1,1,0,0,0.02288557213930348,0.07336141241633971,0
175,1744-JHKYS,0,0,1,0,0.4722222222222222,1,2,2,1,1,1,1,1,1,0,0,2,0.06417910447761191,0.08786060466189707,0
176,2656-FMOKZ,0,1,0,0,0.20833333333333331,1,2,1,0,0,0,0,0,0,0,1,3,0.5592039800995025,0.13003692591737828,1
177,2070-FNEXE,0,1,0,0,0.09722222222222221,1,0,1,2,0,0,0,0,0,0,0,0,0.5791044776119403,0.05594276482806371,1
178,5947-SGKCL,0,0,1,1,0.20833333333333331,1,2,1,0,2,2,0,2,2,0,1,0,0.8666666666666666,0.1777579044541888,0
179,3712-PKXZA,1,0,1,0,0.8472222222222222,1,0,2,1,1,1,1,1,1,1,1,1,0.02288557213930348,0.14230325409646896,0
180,6317-YPKDH,0,0,0,0,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,0,0,0.11641791044776117,0.0012866374336487421,1
181,6582-OIVSP,0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,3,0.2691542288557213,0.0030579275328871443,0
182,9367-WXLCH,1,0,0,0,0.1111111111111111,1,2,1,0,0,0,0,0,2,0,0,0,0.6592039800995024,0.07429609969997693,1
183,5524-KHNJP,1,0,1,1,0.4583333333333333,1,0,0,2,0,2,0,2,2,1,0,1,0.5621890547263682,0.2809254558042926,0
184,1918-ZBFQJ,0,0,0,0,0.18055555555555555,1,0,1,0,2,2,0,0,0,0,1,2,0.6069651741293532,0.1261077775213478,1
185,1024-GUALD,0,0,1,0,0.013888888888888888,0,1,0,0,0,0,0,0,0,0,1,2,0.06517412935323383,0.0006923609508423722,1
186,4827-USJHP,1,0,0,0,0.2777777777777778,1,0,0,0,2,0,0,0,0,0,1,3,0.3338308457711442,0.11597622894068775,0
187,8167-GJLRN,1,0,0,0,0.041666666666666664,0,1,0,0,0,0,2,0,0,0,0,2,0.12089552238805967,0.007310177705977384,0
188,0956-SYCWG,0,0,0,0,0.18055555555555555,1,0,2,1,1,1,1,1,1,1,0,2,0.013930348258706454,0.026078929148396032,0
189,8017-UVSZU,0,0,1,0,0.5555555555555556,1,2,0,0,2,0,0,0,0,0,0,1,0.381592039800995,0.2723632587122086,0
190,7100-FQPRV,1,0,1,1,0.5972222222222222,1,2,0,2,0,0,2,0,2,1,1,1,0.5338308457711444,0.36401453957996766,0
191,2472-OVKUP,1,0,1,0,0.08333333333333333,1,0,1,0,2,2,0,0,2,0,1,2,0.7238805970149254,0.0591045465035772,1
